nama_matkul,KD_matkul,token_matkul,nama_file
Konsep Sistem Informasi,KD045226,X6mZk3zBGEWA955k7xffw,7c4992ec57248a76bf5a7faeef51cb9f
Konsep Sistem Informasi 3,KD011409,I3GwBWP6E2i0TFTpLSdwQ,4e802efbe2bc47f7193c3dcb0db7c38b
Latar Belakang Budaya 1,KK061403,cMVnpfAzVBLWHsCCPlQ,a10158d0b8303686772be6b628428421
Logika & Algoritma,KD014421,iRBReNkWKN51JImJsy2Obw,f90e18def23f7f87d05da2d6d2aa8951
Logika Matematika,KD045310,7sH5DhcMknlGVfRnCkmMqw,a8d2a3d9df1f11ebb331323c27bd22fc
Manajemen & SIM 1,KD045225,UQZVEx1e2Pfo0CLH4oNfzQ,78125be442bb146342abc2a175d8894c
Manajemen & SIM 2,KK021310,pgccOBuKk8r48uAv22tgog,9e149a835cf711e48d52837f37ccd0c1
Manajemen Umum,KD045225,QYIApuijLmSeMXkGFva8g,78125be442bb146342abc2a175d8894c
Matematika Bisnis,KD021318,KUnf7NIyXCankOuv68Gg,bb1f9a4c8e7e6f45e8e94fb4b329239c
Matematika Dasar 1,KD042211,gGhwdsUIbISSW0BMXwoaQQ,e909123006c5b3e80eb8d764223e9af9
Matematika Dasar 2,KD042212,fVR6ELknxTYcyhwtDCfXg,9e036694fd3f755011fc207787109c9b
Matematika Diskrit,KD045320,WjPjPTtd9hWXh6xlIi1DqA,f8e140f5ace6fe078809b8a9d527e16b
Matematika Ekonomi,KD021317,2mZXZllPqPfLMq5oZyANQ,10d5994a1514b230e8a2e0f9da47befd
Matematika Ekonomi 2,KD023306,N9FDWzPfvr6r5MXoav5ECA,0d633e49d5973df4ff20844ffbc927d9
Matematika Informatika 1,KD013213,paQqls4Utf5WmvsNm9Vg,c47ddbf656620546ee190f5b20af26e4
Matematika Informatika 2,MI014205,FS8wzNnPqwMKhIQe5oEtYQ,2c2b2136a2e78b237fce02bf9cccaf74
Matematika Lanjut 1,KD013213,HBypnisiXFAsNTlxBGySQ,c47ddbf656620546ee190f5b20af26e4
Matematika Lanjut 2,KK045322,JDJoGFxx1G7to6WjdgZI5Q,b4c991d330eaadc9be2a179725c4ec79
Matematika Lanjut 2,TK014301,1BVSx6pz1fClDInJshfqnw,2c66d77a43424dd6e95381cd1bc40409
Matematika Teknik 1,KD042215,mjzmncPmf1Aji7zpeRVVGQ,9e78f712733fab98e0de367a7fc3096b
Matriks dan Transformasi Linier,KD013213,gl1AivbKFMfc4MulCxcaQ,c47ddbf656620546ee190f5b20af26e4
Metode Numerik,KD045319,yPGaRsWVW6ByFKAWWk0GQ,76b79738a541bca5f43190eaa6363722
Metode Numerik & Fortran,KK045322,JPYEHs7eNGgjn4olb60Xvg,b4c991d330eaadc9be2a179725c4ec79
Metode Penulisan & Penelitian,KK042227,LIvDPUSfjjZX9P6xMW5mHQ,2984f7fda754668c03bcc22e4b3a50df
Mikro elektronika,KK014210,CVwxqjQ5XL2fPXxTINX9wg,c17806606dbbfc9742e5baaad5d3ed19
Mikro komputer,KK045425,LLaXgqr9YkYAvVcmAkO7GQ,2444ccaea6901d1669aed2c3a8450e95
Olah Data Statistika 1,KD051312,i5IEY0wezHeFHCDEXjwHA,49efcdcd92836d34d6c66f30ebfd47ce
Olah Data Statistika 2,KD021220,c5Wf9bjIq1FhFbdIlWEU4A,744b86e4a69518ce38720e1d2ac2a1c0
Organisasi dan metode,KK013202,834wJ6XmAAQ1OqA6j9Z7lQ,d3d2ed033dfab14ccdf4189624b74a6e
Organisasi Sistem Komputer,KK013209,U8oWdP3uFzWogWt4gucrg,75fbc08dbe0e55ed8032d76c4171d2b2
PAKET PROGRAM NIAGA,KK045432,DYPQVyUYfR7Uq5REAkQpvg,2191c128e566746398a41ffc150bbf88
Pemrograman Berorientasi Objek,KK045220,ABQk09jbWv0ADRscCCwLPQ,50dd6def575767efb160ef15125ea639
Pemrograman Cobol 1,KK013207,SbDBQZcz1TTSYOA6ndpyQ,2129649e401bdeb9fb53733f619bf737
Pemrograman Cobol 2,KK013212,v5DOgQMFCRuRVAkZWvvg,e7d5655731cabb7f338774ff91e35f88
Pemrograman Olah Berkas,KK013212,c68VBvPONr0ypwHvL2yPdA,e7d5655731cabb7f338774ff91e35f88
Pemrograman Pascal 2,KD014213,7YKebLoCPAcb4GfAiA8VA,4e048de378d41a84f290d3772964db71
Pemrograman Terstruktur,KK013413,Jbey5CWrFShaeUpE9aJ2A,159ef2287535e885d5c7ff4660895a07
Pendidikan Kewarganegaraan,KU000202,YKBmo9sJ5D4IQJB2LQ7qYA,157e404efa69e7719542cb6b6c9a8255
Pendidikan Pancasila,KU000201,J3K45EnKBs91n4qgyeQQ,1ca6100a3edfb3243703e8f2af577c1d
Pendidikan Pancassila,KU000201,ibG4Mrzgzpy4p6jemaZIg,1ca6100a3edfb3243703e8f2af577c1d
Pengantar Akuntansi 1,KD021207,X7X57ELxOSdUKwMaqWIfQ,4f05645606a7251ddbdb301cea7e2133
Pengantar Akuntansi 2,KD021208,9Y44Lt0juiY7WPVRBbbfw,fbf673418d2fc8070c663706a2a6894f
Pengantar algoritma dan pemrograman,KD045412,9Py6hewEfWMJssJGBKIs4A,2e80ca0d3c832c79a5a620daaf5ad7aa
Pengantar Aplikasi Komputer,KD024307,uiQkvPXdK0hqZgl0CMpADw,7f05e483627702768b589f397e93c2b0
Pengantar Bisnis,KD021305,1sq1R4lSooqs5bjlcsQu0Q,cc3c5d4734844f3da5ca36076d62fb4a
Pengantar Bisnis & Ekonomi,KK042222,7SQYUkOZ0IR5uzfaAtkg,02297b4e43f94f21acc798f47e809ace
Pengantar Ekonomi Bangunan,KD021209,GN62M0b8MWuEae2JA4Tw,6eeed29f492a9dfae7f82ccd30cf0984
Pengantar Komputer,KD031304,4t2GTXJww3r9PQB7ArHmQ,7df25730e64fca6ec7c1e69e5ac40c1e
Pengantar Manajemen (Akuntansi),KD022306,QRwsrvLxofl4uS5eBGXh9w,208d50c1a984522a03370751c51eb8f7
Pengantar Manajemen (Manajemen),KD021306,eO0OY0uFXrpsmehv3iReQ,c5439ac820c731be2c1ccd873da5ae6f
Pengantar Manajemen Umum,KD045225,TcdIMogJpD1MFNaG4U500Q,78125be442bb146342abc2a175d8894c
Pengantar Organisasi & Arsitektur Komp,KK013209,oCvNvCOHtva76qNP34yppw,75fbc08dbe0e55ed8032d76c4171d2b2
Pengantar Pengolahan Data Elektronika,KD013207,ZhMEYtq4jDjcUxwzcAFe6w,6ea8f3626da33ce87566fae21685bfda
Pengantar Perancangan Sistem,MI016204,yb1NrKMISsNfKohRzCQdqA,f7e7e4a595c1231ac6ce318b31cbeacb
Pengantar Simulasi & Permodelan,KK045328,h74oS1tis6IdeOlVJY4Q,9cdd940806cbcac8319735436fbf19ad
Pengantar Sistem Informasi,KD045226,SxTyM38Ztp0TOEwfsutHtg,7c4992ec57248a76bf5a7faeef51cb9f
Pengantar Sistem Komputer,KD045422,Pthi4kEn4ZUTiegFSEUQ,a950c5bb6414a0b2ba5c1cabadecbcb3
Pengantar Teknik Kompilasi,KK045305,f7aiGrBZ9wRxio6vejjA,06c9a007f35b788afbed73de648961d4
Pengantar Teknik Kompilasi,KK045427,d2JNorrvp8fEmgBuFzZg,59a2ba1c65b9656eb4f50def4b3d3e38
Pengantar Teknologi Sistem Informasi,KD045422,QCobFNrL5GYQ3NKbgV1oDA,a950c5bb6414a0b2ba5c1cabadecbcb3
Pengantar Telekomunikasi,KK045235,WPh1xukibwjvGlldSv6gfw,624f7ceb6470be71fb4f7a49580241ab
Pengelolaan Instalasi Komputer,KK013224,tPa3S87G6wIgHHk3i6MT8w,1a3aff981495e18b6799d7e6a1086372
Pengelolaan Sinyal Digital,KK041314,epKxjFWoud1frYnJ7i2zg,dbfa3fd9eec392a04e3a5740856de6a0
Pengembangan Sistem Informasi,KK013224,TXkeYYF8SmbLgYVqFYBWw,1a3aff981495e18b6799d7e6a1086372
Pengukuran Elektronika,KK014211,yb53fR0khZE2P8RmRZSaw,fad88bf82cfc1a906bb8c9ab47408113
PERANCANGAN SISTEM INFORMASI,KK045321,PHdC0vperQGCPMMEOhAXuA,cf7d862c3fbf8ed00e2d49b4f6ab3fea
Perekonomian Indonesia,KD021310,l2nDYDCzElkmlsITBL5rFQ,cbf9dd0ac4f48d6a5338042da53e2a4c
Perpajakan untuk manajemen,KD021324,olHWGazXpGiNjZlHoeqvPg,72881067d4f1c81256f639b0e1f19dbd
PPMB,PPMB,ckLLCVLuaQIdmHA8TKoqPg,c9358dd7002b21677fd6db6727f405d6
Rekayasa Perangkat Lunak,KK045207,Ue6nMc0UDzoo11xAx7aw1g,c83d640e7c6d5f7b344c666ee12e7658
Riset Operasional 1,KK024329,9dIjWYCPUqXk1MXEtFMCg,fcc413728e598aae4fb45123a28f9416
Simulasi & Pemodelan,KK045328,SW6blsz3roRfHbYugt9w,9cdd940806cbcac8319735436fbf19ad
Sistem Basis Data,KD045318,EkiNVVnF2N9XKpR5kKbFg,272f246d3440f24d21833cba7adbd8b6
Sistem Basis Data 1,KK013222,m63a771M91dQ2kZobEHLg,39e2c4e5fceffe14b571a938b4d7ea71
Sistem Basis Data 1,KK014223,512btvqqKxwaxHjQiwFBhw,bf464651acca1d676380a1dcc2ff2650
Sistem Basis Data 2,KK013227,KNLwYCSJoogWQ3K9rgLKQ,eea3217c1d8b43a7c138df7423c6bbdd
Sistem Berbasis Pengetahuan,KK012335,oo9CWybYSrtMcIFO7Ys5Q,457bd1ef9734481b5616c3eba8bed4cb
Sistem Berkas,KD045319,GoCajLmHsKbhBQdkulgzwQ,76b79738a541bca5f43190eaa6363722
Sistem digital,KK045418,fI6ouMx4FATFL5nTNRO9A,67f2a3e5e21cb3de21eff76ce088f833
Sistem Informasi Akuntansi,KK013234,u05YLM1OkQLkc7J9oiYg,fe34bdbcc58b9546f990b89243d33b38
Sistem Informasi Manajemen 1,KK021310,HMB0cNuadTWf62wV0anAQA,9e149a835cf711e48d52837f37ccd0c1
Sistem Informasi Manajemen 2,KK013228,oqVMMZJkS7I02AypsQQbpQ,546c37ed666cb5669a8c8db304454ec9
Sistem Keamanan Komputer,KK011324,oXLzP6Oqsg2yYpOMFJQaPA,4421a4bd9907bf9f95448251ef2d337f
Sistem Komputer 1,KD041233,xTogayeiMjaBeC6FRxrpQ,0daf9f8b6e3bfffdc4c53e5a98a69251
Sistem Komputer 2,KD041234,Z0dX8PLywe8WU73faF8vQ,695494c4c3e593fd2a50ce5e1f854491
Sistem Operasi,KK013421,YYI46EF2eXZJMjqZGdLhow,3f6315a1f9fd49d78c66aeb70fd66df3
Sistem Penunjang Keputusan,KK011315,gRu5pDeFG9AhEYph5tQA,ac464d7a37e161c1745bc325584f83f0
Sistem Terdistribusi,KK045234,DQ8UbqEguidk5pmz45g,a5bbd1c296a328fb202a7a7e1533e87c
Sosiologi & Politik,KD022312,5brvA6M3mOVq9n8ETRmw,ace0d7f12ed5dd2536def0179fa4eaa1
Statistik deskriptif 2,KD021220,UHY8aX4DzKm8fOKK1RrLdw,744b86e4a69518ce38720e1d2ac2a1c0
Statistika & Probabilitas,KK013220,0iH2VsFQrbWSv6iqvAUA,a6d4f1f6652b3ef15c7f99143cde7ea8
Statistika 1,KD051312,5RJWhcYKJHn4vYkDDk2rA,49efcdcd92836d34d6c66f30ebfd47ce
Statistika 2,KD021220,4HublN1zhEfULuz37lLtw,744b86e4a69518ce38720e1d2ac2a1c0
Statistika 2,KD051312,Zk8cyUpW41QKnL4R8HHy2w,49efcdcd92836d34d6c66f30ebfd47ce
Struktur & Organisasi Data 1,KK013210,vW0paQyu77TsDgM48ZVrxg,11996bf0e5c1f97dfa0de653ef7a8faa
Struktur & Organisasi Data 2,KK013414,thTUluXZ5tIDBIoajiFMyg,64a10f3396cd71697d4281cbfe02356b
Struktur Bahasa Pemrograman,KK045220,oocasNoPtwTWHq4bZujcA,50dd6def575767efb160ef15125ea639
Studi Kelayakan Bisnis,KD021314,FtjRBDjs28utStFUk241fg,b5aeaf6a51ee68faee01da47e25dc2dd
Teknik Komunikasi Arsitektural,KD032223,mRe1nmWUQvRFESVMUu9aHw,f8c977567db41d802420a19e64dac07b
Teknik Pemrograman Terstruktur,KK013413,WzYYll6ROS8n72d71PhKw,159ef2287535e885d5c7ff4660895a07
Teknik Pemrograman Terstruktur 2,KK045220,dEfcygCDh8zaclh9E9Lcw,50dd6def575767efb160ef15125ea639
Teknik Riset Oprasional,KK045419,RupfPKzW0JGQlX6P18OjQA,306d3d5740863a3f0f1dbaff11360fac
Teori Arsitektur 2,KD032228,rBoD3K8k3MTR8ildjuIWFQ,f9391ce6d8d013844e2e7abd0b8c66bc
Teori Arsitektur 3,KD032229,PLBSS5F3u40hALhyBxQ,db09e13ae9d95bfdfceb1e747f32ba26
Teori Ekonomi 1,KD021203,jZbH4Eq2DzhnfNunrNlWfA,049fa0eb1a86dfbb586088ab205d4d22
Teori Ekonomi 2,KD021204,Sl1pICd2HanezPBwKa3VA,507449b760b98e3aee91a95604f8db62
Teori Organisasi Umum 1,KK042222,Bpy1e0QJ1b2FVjmn1olghg,02297b4e43f94f21acc798f47e809ace
Teori Organisasi Umum 2,KK013202,6dWK3au8xoibYGoFzNHEcA,d3d2ed033dfab14ccdf4189624b74a6e
Terapan Komputer Perbankan,KK013201,3RyG92oYh8dweIGdnGmHg,9827c8167e26465e610cfa3ba9adb2e7
Testing dan Implementasi Sistem,KK011321,SvZd8ITFAn6OuOSEpXbPwg,6bfb3aa6ff7ca9ebb8e6e0d9581f1aef
